text,label
"Sudah jelas di foto ada 1 botol pecah, kenapa barang pecah harus tetap dikirim ke toko? Kalau tidak dikirim tidak akan diganti barang atau dikembalikan uang",0
"Sendinya tidak seret sama sekali! Longgar sekali, tidak bisa jadi stand! Sangat menyesal!",0
"Paket cepat sampai dan dibungkus rapi dengan bubble. Terima kasih Toped, Kurir dan Seller. Kualitas produk bagus. Material bagus. Harganya terjangkau! Direkomendasikan",3
"Selangnya robek. Tasnya juga robek di sudut",1
"Barang lama sampai, tidak sesuai dengan perkiraan waktu",1
"Mantap, biasanya langganan",3
"Buku ini belum saya terima",1
"1. Pesan abu-abu yang datang pink. Masa bapak pakai pink? 2. Kalau memang abu-abu habis, ada fitur chat untuk konfirmasi ke pembeli, bersedia ganti warna atau tidak. 3. Kardusnya rusak, barang lama dijual kembali. 4. Penjual tidak meminta maaf atas kesalahan yang dilakukan, dan tidak memberikan solusi atas kekeliruan yang terjadi. 5. Penjual prosesnya lama sekali, beli Jumat pagi diproses Senin alasannya Sabtu Minggu libur. Seperti PNS ya. 6. Barangnya tidak nyaman sekali, sakit kalau dipakai terutama di bagian panggul. Kesimpulannya tidak direkomendasikan sama sekali!",0
"Keren dan bagus",3
"Jangan mau beli di sini, kemasannya jelek, barang sampai dalam keadaan pecah dan penjualnya tidak mau tanggung jawab",1
"Barang datang tidak sesuai yang dikasih tahu adminnya! Bilang rice cooker 1,2 liter! Ternyata barang yang dikirim 1 liter",0
"Tolong dicek dulu sebelum kirim, power yang satu keluar asap, untung ganti kapasitor sendiri bisa",1
"Sangat tidak direkomendasikan!",0
"Barang yang diterima dalam kondisi yang tidak diinginkan. Pecah di salah satu tuts-nya",1
"Otomatis jadi langganan",3
"Saya suka sekali... nanti ingin mencoba semua rasanya, nyaman ketika digunakan",3
"Sudah langganan sekali belanja Imboost di sini, semoga laris manis jualannya ya kak. Terima kasih",3
"Kalkulatornya mati satu, tolong kak sebelum dikirim barangnya dites dulu",1
"Dipaksa beli. Setelah checkout hati-hati saja sama toko ini",1
"Tidak bersegel. Di packing luar dan dalam produknya tidak bersegel. Info dari admin seller setelah chat, produk memang tidak bersegel dan infonya diklaim oleh admin penjual original, agar dicantumkan di deskripsi agar pembeli jadi tahu, dan layak jadi pilihan atau tidaknya untuk di kulit wajahnya",1
"Ikannya bagus sekali",3
"Barangnya keren sekali. Sayangnya bungkusnya hanya plastik biasa, sehingga terkesan kurang premium. Secara keseluruhan, keren sekali. Terima kasih",3
"Mantap",3
"Bocor!",0
"Sama sekali tidak bisa dipakai, asli menyesal",1
"Wow, keren sekali",3
"Mainannya bagus sekali, anak-anak saya suka",3
"Sangat mengecewakan, hipseat dan baby carrier tidak bisa disambung karena tidak ada safety lock antara hipseat dan baby carrier dan hood pelindung kepala bayi tidak tersedia. Semoga kedepannya deskripsikan produk apa adanya, sehingga konsumen mengerti dan paham produk yang Anda jual",1
"Tanggal kedaluwarsanya kurang sebulan, pantas dijual seribu",0
"Dari dulu memang suka dengan efek 'nyesss ... adem' pakai sabun ini, apalagi sedang promo beli 2 dapat 3. Barang terbungkus rapi dengan bubble wrap, aman sampai diterima",3
"Packingnya rapi sekali, aman untuk perjalanan Jabodetabek",3
"Terbaiklah alat ini, harga 51 ribu bisa dipakai berkali-kali. Baru datang langsung tes dan wow mantap, kali ini alat kecil cabe rawit. Aki coba cas 1 jam saja langsung bisa starter motor tua saya... Saya suka alat murah tapi fungsinya bagus",3
"Tidak direkomendasikan penjual ini dan hati-hati kalau berbelanja di penjual ini karena penjualnya tidak bertanggung jawab",1
"Mantap, biasanya langganan",3
"Sampulnya gompal-gompal, seperti barang reject",1
"Cantik sekali",3
"Pesan tanggal 2 Maret jam 9 pakai pengiriman instan, sampainya tanggal 3 Maret. Padahal sudah bayar mahal, dikirimnya keesokan harinya. Bukan salah pengantarnya, driver Go-Send-nya sudah mengantarkan paket dengan baik, tapi durasi proses dari toko sangat lama, padahal butuhnya tanggal 2 Maret makanya saya pilih pengiriman instan. Saya juga sudah tanya pihak toko jika paket bisa dikirim hari itu juga atau tidak, jawabannya bisa. Tapi kenyataannya paket saya tidak dikirim pada hari itu juga. Kalau tidak bisa dikirim hari itu juga ya bilang. Saya juga sudah ajukan cancel pesanan juga tidak ada respon dari penjual. Pelayanan sangat sangat buruk. Tidak direkomendasikan. Semoga lebih baik lagi kedepannya",1
"Game lancar, kondisi box dan game cartridges mulus, pengiriman super cepat, penjual yang super responsif, terima kasih gan, sangat direkomendasikan beli game di sini",3
"Pesan warna cokelat yang sampai warna abu-abu. Lain kali tolong kalau mau jualan lebih profesional lagi!",0
"Penjual kirim barang kurang, beli 24 datang hanya 21, dikomplain baik-baik malah bilang tidak mungkin, nuduh pembeli bohong padahal cuma uang 50 ribuan selisihnya, coba cek tuh sistem sortir di sananya, tidak bikin kaya kalau cuma mau menilep 50 ribuan mah",0
"Barang basah berair dan bau. Kualitas tidak bagus, tidak seperti di gambar. Catnya banyak yang terkelupas",0
"Parfum datang kondisi terbungkus rapi namun saya curiga kenapa tercium aromanya sampai keluar padahal belum dibuka sama sekali dari kardus luarnya. Begitu saya buka kardus luar ternyata kardus dalamnya basah kemudian saya buka dan di dalamnya isi parfum tinggal sedikit sekali. Saya tidak tahu yang bermasalah di pengemasan atau pengiriman. Mohon bisa dievaluasi lagi, terima kasih",1
"Saya pernah usaha jadi saya tidak mau menjelekkan usaha orang, saya toleransi kalau pertama beli colokan rusak saya anggap kurir, tapi transaksi ke-2 ini lampu 2 dari 3 hanya menyala setengah, bagaimana admin jualan tidak cek dulu sebelum paket dikirim. Jujur saya kecewa, saya beli barang mungkin murah tapi bukan yang rusak dong. Cukup terakhir kali belanja di toko ini",0
"Kusut, datangnya pink, padahal sudah dinote biru, tidak bisa baca kayaknya ini penjual",0
"Salah ukuran, minta XL dikirimnya S",1
"Pembelian kedua, puas dengan barangnya. Produk all in one. Suka sekali dengan produk ini, direkomendasikan untuk anabul",3
"Mantap, biasanya langganan",3
"Bagus sekali, pengiriman rapi dan cepat",3
"Cokelatnya mantap sekali. Beli lagi, promo terus masih ditambahin voucher juga, jadi murah sekali pokoknya",3
"Responnya sangat lambat padahal sudah request untuk kirim pagi tapi justru sampai siang belum juga dikirim. Lain kali tolong diperhatikan lagi",1
"Jangan mau beli di sini. Cek review penjualannya, banyak yang rusak dikirim. Saya korban juga. Cek foto barang yang saya order. Supaya yang lain tidak jadi korban. Kacau toko ini menjual barang rusak",1
"Barangnya tidak bagus, murahan",0
"Bagus sekali, anak-anak suka sekali. Terima kasih",3
"Barang berfungsi dengan baik, direkomendasikan",3
"Order Minggu sampainya Rabu, lambatnya minta ampun, ditanyain baru info kalau overload orderan, itupun baru Selasa dikirim, tidak ada konfirmasi awal kalau overload orderan. Tidak bertanggung jawab",0
"Pengiriman yang harusnya 2 karena twinpack tapi yang dikirim satu, sampai harus buat komplain dan tidak dapat kompensasi apa-apa. Ini yang pertama dan terakhir belanja di sini, official store tapi seperti itu",1
"Bangkai yang ada, sudah pada mati semuanya",1
"Sleeping bag-nya tidak direkomendasikan, tipis sekali",1
"Sudah 3 kali pesan, sudah minta tolong dikirimkan dengan nota, dan diiyakan penjual, namun 3 kali pesan juga nota tidak diberikan",1
"Memorinya sudah terbuka waktu saya terima, tidak ada segelan, kondisinya sudah agak buram. Aku coba sudah 3 kali belum bisa dipakai",1
"Selalu suka dengan sabun ini, enak dan segar, apalagi dipakai setelah olahraga",3
"Tidak berguna dibeli, aplikasi semua tidak bisa. Moka Cashlez semua tidak bisa. Dulu beli apa juga tidak connect. Tidak direkomendasikan, harga mahal, support jelek",1
"Barang yang dikirim tidak sesuai promosi. Sangat mengecewakan",0
"Saat diterima kotak sudah kebuka. Ada 1 botol yang tidak ada tutupnya",1
"Jangan tergoda harga murah, ternyata tidak sesuai antara barang dengan deskripsi. Deskripsi tertulis paket termasuk sarung kulit ternyata tidak ada, seller hanya meminta pengiriman kembali barangnya tanpa ada permintaan maaf dan proses penyelesaiannya membutuhkan waktu dan biaya lagi sehingga tidak saya kembalikan. Menyesal beli di sini",1
"Suara kecil sebelah, ini produk bermasalah kualitas kontrolnya. Tidak direkomendasikan",1
"Ekspedisi pengiriman lama sekali, pas mengajukan komplain baru dikirim. Hadeh",1
"Mantap sekali bro, penjual ramah, sabar dan jika ada masalah pasti ditangani. Terima kasih",3
"Sudah kuduga kalau beli banyak, pasti ada beberapa yang barangnya dikasih dalam kondisi cacat dan ternyata beneran dong wkwk, yang pecah malah barang di urutan ke 4,9 dari total 24 item yang saya order + kualitas barang ternyata hanya plastik tipis (tidak sesuai perkiraan saya karena yang ditampilkan toko hanya tampilan depan saja) Secara keseluruhan, saya tidak akan merekomendasikan ini ke kalian",1
"Pesan dari Kota Tangerang tiba-tiba dikirim dari toko cabang, hadiah tidak ada... sudah komplain dan banding tanggapan Tokopedia dan official store tidak baik, belanja di toko online lain tidak pernah trik seperti ini, sudah salah tidak mau mengaku salah... pas checkout sudah ulang-ulang dilihat benar ini kirim dari Kota Tangerang, sudah screenshot juga itu yang dibeli, saya juga bisa lihat mana yang toko cabang mana yang dari Tangerang, hati-hati untuk pembeli lain jangan sampai ada yang kena seperti saya",1
"Beli tanggal 9. Pesanan selesai tanggal 12 dan.... mouse rusak tanggal 13 tidak bisa komplain dari Toped lagi. Admin ditanyain bagaimana cara klaim garansi sangat tidak membantu, chat hari ini balas besok, sudah dibalas tidak dijawab-jawab lagi",0
"Saya menyesal pakai yang same day, rugi dikirimnya lama",1
"Barangnya tidak ada",1
"Beberapa hari yang lalu saya pesan 4 pcs Bolt Salmon tapi hanya dikirim 1 Bolt Salmon dan 3-nya Tuna. Harganya beda 600 rupiah sih tapi bukan masalah beda 600 rupiahnya cuma lebih ke kewajiban memberikan barang sesuai dengan yang dibeli konsumen saja biar konsumen tidak rugi. Janji bakal dikirim salmon di pesanan kali ini tapi tetap dikirim tuna, kalau barang kosong seharusnya konfirmasi bukan asal kirim saja. Ok, terima kasih deh kak, semoga konsumen lain tidak mengalami seperti ini",1
"Dijualnya barang yang sudah mau expired, pantasan saja kok murah",1
"Sekian kalinya beli di Tuang Coffee... terbaik",3
"Mantap, bagus, keren",3
"Selalu suka sama body wash ini",3
"Katanya fit to L ternyata fit to M. Gambar juga tidak sesuai dengan foto",0
"Barang sudah sampai dengan selamat. Barang sesuai dengan deskripsi produk. Packing oke. Direkomendasikan penjual ini",3
"Barang sesuai, pengiriman cepat, direkomendasikan",3
"Terjemahannya berantakan sekali. Mending beli yang versi Inggrisnya saja",0
"Minta ukuran 43 yang dikirim ukuran 44, kebesaran tidak bisa saya pakai, bagaimana?",1
"Hati-hati, barang rusak dikirim",1
"Pesan warna cokelat yang sampai warna abu-abu. Lain kali tolong kalau mau jualan lebih profesional lagi!",0
"Admin ditanya-tanya respon cepat dan ramah, barang cepat sampai, sampai dengan rapi. Tata cara install lengkap dijelaskan, sisanya dipandu. Sangat sangat membantu dan baik adminnya, direkomendasikan sekali. Next pasti beli-beli di sini lagi, puas sekali",3
"Bagus sekali, harganya murah tapi kualitasnya ternyata bagus sekali. Desainnya juga keren dan berfungsi sesuai iklannya. Direkomendasikan sekali. Pengiriman juga cepat dan aman. Terima kasih ya",3
"Tolong dicek dulu sebelum kirim, power yang satu keluar asap, untung ganti kapasitor sendiri bisa",1
"Harga termurah, kualitas dan layanan teratas! Produk direkomendasikan dari penjual yang direkomendasikan!",3
"Mantap, barang cepat sampai, barang bagus, penjualnya responsif sekali, packing-an oke sekali, aman sampai di tempat, barangnya keren sekali",3
"Pelayanan buruk, barang yang dikirim tidak enak. Jangan beli di sini",1
"Jangan belanja di toko ini! Penipuan! Yang dikirim barang murahan dan tidak mau diganti selisih harga!",1
"Barang datang tidak sesuai yang dikasih tahu adminnya! Bilang rice cooker 1,2 liter! Ternyata barang yang dikirim 1 liter",0
"Barangnya bagus, mewah sekali. Sudah dicoba juga bulu-bulu yang menggumpal ketarik juga. Bagus pokoknya",3
"Pengirimannya kok lama sekali ya, order Kamis, baru dikirim Senin, itupun setelah dichat tanya kapan dikirim, alhasil gagal memberi kejutan. Tolong perbaiki kinerjanya ya",1
"Keras sekali, sampai tangan sakit. Yang dijual paket bagus, yang dijual lepasnya beda sekali, menyesal beli banyak",1
"Kameranya jelek sekali, di deskripsi katanya bisa walkie talkie ternyata tidak bisa, respon penjual sangat lambat, tidak dapat sim card malah diganti kaos kaki",0
"Hati-hati guys, gua beli tiga terus satu benar-benar tidak bisa dipakai. Sengaja ngasih bintang satu lagian gua chat abangnya tidak respon",1
"Bagus sekali, sesuai, btw aku beli yang S013 dan S008",3
"Mur sama bautnya kurang dan penjual pertama bilang akan respon setelah 5-7 hari setelah 2 minggu masih saja tidak ada solusi, disuruh kirim balik bagian jemuran padahal yang kurang cuma mur sama baut dibikin ribet akhirnya itu bagian bawah tidak bisa dipakai, kurang profesional penanganannya",0
"Tolong dicek dulu sebelum kirim, power yang satu keluar asap, untung ganti kapasitor sendiri bisa",1
"Sudah yang ketiga kali buat di sini, terbaik sekali asli, cepat tidak ada obat",3
"Ternyata tidak bagus untuk kucing jantan di saluran urinenya, hati-hati",1
"Baru pakai 3 hari sudah berulah, susah hidup, kadang hang, freeze blank saat lagi on komputer. Minta diganti tidak direspon terus buat apa embel-embel garansi lifetime? Tidak direkomendasikan",1
"Barangnya tidak sesuai gambar, biasa saja, pantas harga murah",1
"Tokonya tidak sportif, tidak kooperatif, pengalaman buruk belanja di toko ini barang cacat diajukan keluhan tapi tidak bertanggung jawab di chat lewat Tokped ataupun WA tapi tanggapannya muter-muter doang kebanyakan basa-basi padahal tidak mau bertanggung jawab, lu makan tuh uang ***** buat **** istri lu hati-hati dengan toko ini",0
"Barang tidak ada, komplain tidak direspon... pelajaran buat yang beli di sini cek hati-hati saat datang",1
"Mentang-mentang beli 1 buat ngepasin uang kenapa dikasihnya dalam kondisi bekas ya? Tidak ada perekat sama sekali dan ada bekas lekukan juga. Iya murah, cuma harus profesional dong jualannya",1
"Jelek sekali mic-nya, tidak nyala. Kabel cuma 50 cm. Akhirnya cuma dipakai bando-nya doang dan mic pakai lavalier yang ada",0
"Kecewa!",0
"Jangan lupa guys, diorder toko ini",3
"Barangnya robek dan penyok-penyok, di chat ke penjualnya malah bilang wajar karena produksi massal. Terus tulisannya pakai capslock semua tanpa bilang maaf karena produksi massal ini malah kebablasan capslock. Kan sebelum dikirim harusnya dicek dulu. Mana posisinya kebalik yang bagian dalam di luar, ngebaliknya kan susah kaku",0
"Barang sampah, kecewa belanja di sini, Modbo rusak kok dikirim",0
"Saya pesan 18 kg yang bentuk ikan, dikirim yang donat, kucing pada mencret",1
"Di chat minta pengiriman instan, jawabannya menyanggupi, tapi setelah dibayar, tidak dikirim-kirim. Kalau overload kenapa menyanggupi? Kacau nih bikin kapok",0
"After sales-nya parah, penjual tidak baca chat dan tidak balas lagi, janji tinggal janji",1
"Lama sampainya",0
"Produk yang dikirim berbeda dengan foto yang tertera",1
"Pesan 2 lapis, dikasih selapis, untung saja visornya aman, amsyong",0
"Barang sampai tepat waktu, aman dan rapih, mantap gan, dapat bonus lagi, yang terbaik pokoknya, kalian wajib belanja di olshop ini bos, terima kasih barangnya",3
"Barang tidak datang, ini penipuan",1
"Pesan 3 yang sampai 2. Semoga berkah deh yang curangin",0
"Baunya mengganggu",0
"Cuco meong pokoknya",3
"Sudah beli banyak ada 1 yang rusak mau tukar tidak bisa pakai belibet aturan, capek deh",0
"Penjual tidak jujur dan pengiriman super lama padahal pesan Gojek Instant. Di hari pemesanan diinfo kalau ada suara MARHABA/HELLO karena ketekan, padahal seumur-umur beli Apple tidak pernah ada kasus bisa ketekan kalau belum dibuka. Sudah bilang juga kalau saya tidak mau barang yang ini karena menurut saya aneh, katanya belum dibuka tapi mana bisa ada suara tiba-tiba muncul? Dari factory-nya masa? Eh hari itu tidak kunjung dikirim tapi bilangnya sudah dikirim, nyatanya ditunggu sampai baterainya habis, baru dikirim keesokan harinya?? Dipikir saya tidak pernah beli barang Apple kayaknya, barang baru Apple itu selalu dikasih baterai minimal banget 20% dari full. Ini tidak bisa nyala sama sekali. Hehe mau bohongin saya ya. Sudah cukup beli sekali saja di sini",1
"Bahannya plastik bagus banget, memang yang terbaik kualitasnya, terus warnanya lucu",3
"Saran buat toko, kalau bisa pengirimannya jangan lewat Antaraja. Kalau bisa disarankan pengirimannya lewat yang lain saja",1
"Ujungnya bompel mungkin kebentur pas ekspedisi. Saran: packaging seharusnya yang lebih aman untuk barang mudah pecah",1
"Produk sesuai deskripsi, packing rapih. Benar-benar fast charging! Terima kasih Baseus!",3
"Pengiriman lama, barang sesuai harga, tolong QC-nya lebih diperbaiki, ada bolong-bolong bekas jarum di jahitannya, ada garis putih di kerudung abu yang lebih kelihatan",0
"Jangan beli di sini. Penjualnya slow response ketika ada masalah produk. Saya beli helm tidak dicek QC terlebih dahulu sebelum dikirim. Helm ada lecetnya. Beli goggle OSBE kacanya baret-baret halus semua. Masuk pusat resolusi juga tidak kooperatif. Selalu cek CCTV yang tidak jelas kapan ceknya dan apa yang dicek. Barang akhirnya diretur. Setelah sampai tidak direspon-respon lagi. Jadi mending lebih baik batal di mana solusi awal saya adalah retur refund dan di sini tidak ada itikad baik seller. Sudah lapor CS pun CS terpaku sistem dan pas sudah koar-koar baru tuh CS hubungin seller. CS Toped empatinya pun masih buruk. Kalau sekelas selebgram cepat ditanganin. Giliran user biasa alasannya sistem. Beberapa jam menuju transaksi mau batal baru dibatalin ini seller",1
"Barang mau dikirim pakai ekspedisi ke luar kota tapi tidak dibungkus plastik! Background basah akhirnya tidak bisa dipakai sama sekali",0
"Bau makanan tidak nyaman, dan rasa tidak enak",0
"Pengiriman lama, barangnya cacat tolong diperbaiki layanannya!",0
"Packing tidak rapih, balon foil kusut, tidak dilipat, hanya dikuntal-kuntal dimasukkan ke dalam plastik, kalau yang size kecil masih oke, tapi yang size besar jadi pada lecek dan kusut, padahal dari awal chat saya sudah bilang buat dijual lagi, kalau sudah lecek begini tidak mungkin saya kasih ke orang",0
"Pedasnya berlebihan, dibanding isinya yang sedikit. Yang tidak kuat pedas berlebihan tidak direkomendasikan",1
"Tokonya sombong, barang rusak minta dibebankan ke konsumen, tidak usah jadi penjual kalau bubble dibebankan ke pembeli",0
"Menyesal beli, tidak terang",1
"Bintang 1 karena prosesnya yang lambat bukan karena barangnya, pesan Kamis pakai pengiriman 1 hari, barang datang Minggu siang, bukan kesalahan kurir, status on prosesnya dari Kamis sampai ke Sabtu malam baru sampai di kurir, tanpa info apapun dari seller, saya sudah baca kebijakan terlambat COVID toleransi 1 hari, tapi ini dari Kamis sampai ke Minggu berapa hari ya?",0
"Kemasan hancur, pecah berantakan, tidak jadi kepakai, semoga kedepannya lebih safety lagi packingnya",1
"Sudah 4 kali belanja tapi yang ini sangat kecewa sekali",0
"Busyet, lama sekali sampai barangnya, padahal sudah 2 kali order",0
"Mantap sesuai pesanan, bakonya benar-benar mentol, respon cepat, pengiriman cepat",3
"Packing oke, bagus. Mohon perbaikan, stik bergetar terus tanpa henti, mesin agak sering hang mau ganti game. Mohon diperbaiki gan, selisih ongkir juga. Terima kasih",1
"Pokoknya top, bintang yang bicara",3
"Wow, keren sekali",3
"Paten, mantap, rapi, high quality, respon cepat, direkomendasikan sekali",3
"Alatnya sering mati sendiri kak",1
"Barang yang dikirim ternyata cacat produk, sisi yang satunya lepasan tidak ada ukuran/pengaitnya",1
"Sayang sekali analog kanan sama tombol arah tidak berfungsi, alangkah baiknya dites dulu sebelum kirim",1
"Jumlah barang yang dipesan dan barang yang sampai tidak sesuai",1
"Terbaik, sayang sekali emasnya gemoy",3
"Packaging tidak aman sekali, bubble wrap tipis alhasil kemasan barang agak penyok pas datang, terima kasih Tuhan barangnya aman. Ini official store seharusnya lebih baik lagi, fix min next duh",1
"Direkomendasikan penjual ini",3
"Terima kasih banyak gan, sukses selalu, pelayanan mantap, barang asli, sukses selalu untuk seller dan semoga bisa terus kasih harga dan pelayanan yang mantap",3
"Selangnya robek. Tasnya juga robek di sudut",1
"Pengiriman lama banget, kurirnya gagal pickup terus. Setrikanya ternyata besar dan lumayan berat, packingnya tipis cuma bubble wrap selapis. Kualitas setrikanya juga kurang menurutku, soalnya tidak terlalu panas jadi lama setrikanya",1
"Parah, pesan warna hitam atau biru dikirim kuning semua, buta warna apa sellernya? Sudah gitu lama banget diprosesnya",0
"Barang sampah ini tidak seharusnya dikirimkan ke alamat saya, akan tetapi di tong sampah. Sangat mengecewakan, admin tidak merespon sama sekali chat saya. Lihat barang yang dikirimkan, ada dead pixel, lalu layar monitornya kebalik. Sangat mengecewakan. Catatan buat teman-teman yang ingin beli, monitor ini tidak ada audio/speakernya, kualitas layar juga kurang baik. Jika ada rejeki lebih, belilah dengan merek yang bagus. Saya sangat menyesal belanja di sini",0
"Deskripsi dan gambar warna hitam tetapi barangnya yang sampai warna biru. Tidak sesuai banget. Dichat komplain jawabnya cuma terima kasih. Tidak niat jualan bos. Namanya orang jualan yang diutamakan harus kepuasan pelanggan. Kalau dikomplain jangan pura-pura oon/tidak tahu",0
"Diterima dalam keadaan packing terbuka dan terlihat sudah pecah. Komplain tapi harus kembaliin barang, malah ribet dan jadi repot sendiri",0
"Barangku kapan datang? Gua sudah lama menunggu, malas gua beli lagi",1
"Kenapa dibungkus bubble doang tanpa kardus? Saya kan juga bayar kardus + bubble sis",0
"Packing oke, sudah sering beli di sini, sip",3
"Pelayanan penjualnya jelek, slow respon banget",0
"Gercep banget adminnya nih, yang terbaik lah pokoknya",3
"Sudah pakai rutin 1 bulan tidak ada hasil, payah",0
"Toko langganan, karena pengiriman sangat cepat, terima kasih",3
"Plastik pecah jadi lembek sebagian",1
"Mantap sekali, aroma rasa bukan sekadar isu, mantul dan mempesona, rasa pas di lidah dan irit di kantong, terima kasih gan",3
"Respon cepat, barang sesuai pesanan. Tingkatkan kepercayaan dan kepuasan pelanggan. Direkomendasikan",3
"Barangnya tidak ada di kemasan",0
"Yang dikirim rusak, ajukan komplain tapi tidak jelas",0
"Salepnya dibikin dulu jadi lama baru sampai, beli tanggal 22 eh tanggal 28 baru sampai, untung salep doang, kalau obat mah keburu mati yang sakit, mending beli di toko obat deh",0
"Barangnya tidak dikirim sampai hari ini",1
"Jelek",0
"Pengemasan lambat banget, pengiriman lama sekali",0
"Barangnya tidak sesuai gambar, biasa saja, pantas harga murah",1
"Barang tidak datang. Proses refund memakan waktu lebih dari 1 bulan. Sama sekali tidak memuaskan",1
"Kulit jadi cerah. Cepat meresap. Cocok di kulit kombinasi. Cocok di kulit berminyak. Kemasannya lucu. Penjualnya ramah banget. Cocok di kulit normal. Proses pesanan cepat. Cocok di kulit kering. Respon penjualnya top. Cocok di kulit berminyak. Packaging rapi. Packaging aman",3
"Pengiriman lambat sekali, tidak pantas jadi official store",0
"Tidak reliable, walau dapatnya flash sale 69 ribu, tetap tidak worth, cuma sekadar charge yang ringan saja mungkin oke",1
"Kualitas produk sangat baik, produk original, harga produk sangat baik, kecepatan pengiriman sangat baik, respon penjual sangat baik",3
"Asli Samsung, pelayanan sangat baik",3
"Packing hanya bubble wrap, lain kali tambahkan kardus, komunikasikan pengiriman dengan jelas biar tidak repot, masa dikirim terpisah case-nya, mana tidak instan, dan tidak bisa dicancel",0
"Pengiriman super duper lama, tidak direkomendasikan",1
"Maaf tapi sablonnya benar-benar tidak layak",0
"Dikirim bornya kurang satu. Terus bukannya tinggal ngirim yang kurang, saya harus ngirim balik 1 kotak. Buang-buang ongkir. Sengaja dibikin repot",0
"Tertulis dapat hadiah, taunya bohong loh, tidak dapat apa-apa, bonusnya tidak datang",0
"Bagian saku kiri kemeja, nampak sobek, tidak dijahit, ada bolong, sehingga kami harus menjahit saku kemeja kiri ini. Semoga untuk pembeli berikutnya, cacat pada pakaian ini dapat diperbaiki atau tidak dijual kepada pembeli, jadi tidak mengulangi lagi kesalahan yang sama. Terima kasih atas waktu dan perhatiannya",1
"Jangan mau beli di sini, kemasannya jelek, barang sampai dalam keadaan pecah dan sellernya tidak mau tanggung jawab",1
"Kiyowo, suka banget sama koleksi BT21-nya. Terima kasih UBS, pengiriman cepat dan packing aman",3
"Buku yang saya pesan terdapat 16 halaman yang kosong. Bagaimana cara menukarkannya?",1
"Saya menyesal pakai yang same day, rugi dikirimnya lama",1
"Pengiriman lama sekali, sampai sudah beli di tempat lain baru datang, pengiriman lebih 1 bulan, kacau",0
"Barangnya mantap, berkualitas, kokoh, bergaransi, seller ramah, pokoknya mantap banget",3
"Pelayanan ramah, desain maksimal, hasil sesuai harapan, direkomendasikan",3
"Lain kali tolonglah dicek baik-baik sebelum dibungkus",1
"Pengiriman cepat dan packing sangat rapi walau hanya beli 1 item saja. Rekomendasi banget guys",3
"Maaf saya kasih bintang 1, di keterangan sudah jelas pilihan warna kuning rusa, pilihan warna lain jika tidak ada warna kuning warna hijau atau biru, tapi yang datang malah warna pink, kalau stok warna yang saya ingin tidak ada harusnya konfirmasi terlebih dahulu, tapi ini tidak, kecewa sih, karena anak saya cowok bukan cewek malah dikasih warna pink, lain kali sebelum dikirim coba dicek lagi",1
"Mengirim barang tidak sesuai pesanan, menyesalkan",0
"Mantap, jangan ragu-ragu, langsung saja booking, direkomendasikan",3
"Sellernya aneh, jawabnya apa, yang dilakuin apa, tidak sinkron, ribet",0
"Alamak, buset, packingnya kurang rapi, dibungkus plastik putih transparan saja, harusnya dibungkus plastik hitam saja biar rapih",0
