text,label
"jahitan tidak rapih, ada 2 jahitan sambungan depan dan samping",4
saya menyesal pakai yang same day.. rugi dikirimnya lama,1
"sok far kualitas dan bentuk pellet paling bagus dari semua toko yang pernah saya beli. packing oke dan pengiriman juga cepat, recommended lah pokoknya ????",3
jelek,0
dipaksa beli. setelah checkout hati-hati saja sama toko ini.,1
"kualitas kurang bagus, kalau di pegang masih masih terasa banget seperti stiker dan benar setelah di tes gampang terkelupas, not recomended, kualitas begini banyak yang lebih murah",4
barang tidak sesuai,4
packing sama sekali enggak ada dus+bubble...,1
"barang sudah diterima sesuai deskripsi dan pengiriman cepat, thx",2
"bahan bagus, kain bisa melebar dan elastis",2
"saya sudah langganan beli transpulmin baby di toko ini (menarini health & beauty dan juga produk lainnya. respon toko cepat dan transpulmin baby ini sangat cocok dengan kulit bayi. cepat meredakan flu & batuk pada bayi. menngunakan bahan alami, melembabkan kulit bayi, aman buat kulit bayi, tanpa bahan pengawet, dan tidak memicu alergi. pokoknya mantul deh.. ??????",3
mengecewakan,4
ikan bagus dan sehat. mantaaaaap,3
"mengirim barang enggak sesuai pesanan, ngeselinnn !!!!!!",0
pengiriman cepat buku dalam kondisi baik,2
pesan 3 yang sampai 2. semoga berkah deh yang curangin,0
"thx gan,barang sampai dengan selamat",2
"pesanan sesuai deskripsi,pengiriman cepat",2
terimakasih barangnya bagus banget,3
"barang original, pengemasangan sangat baik dan sangat cepat, seller sangat fast respon",3
"flash disknya sudah sampai dengan selamat. packingnya aman bgt, rapi, dan game aman bisa dimainkan. kayaknya dapat bonus game juga di dalamnya. terima kasih kak! kelengkapan sesuai & gamenya seru!",3
"maaf kepada seller, hanya bisa memberikan 2 bintang, disebabkan barang yang dipesan tidak sesuai dengan yang diterima, pesannya kepala gesper yang hitam polos sesuai gambar dengan kode 2, namun yang di terima bermotif, jadi tidak sesuai harapan... mau ajuin komplain juga malas, karena saya anggap enggak terlalu penting... semoga kedepannya seller lebih baik lagi dalam pelayanan...",4
"tokonya songgong bareng rusak meminta dibebanin ke konsumen, enggak usah jadi penjual kalo bubble dibebankan ke. pembeli",0
"bagus barangnya,cepet nyampeknya ????",2
hati hati guys gua beli tiga terus satu benar benar enggak bisa dipake. sengaja mengasih bintang satu lagian gua chat abangnya enggak respon,1
"roll diambil 1/4. menampak dari potongan sudah mencong mencong. jualan yang benar, jangan hanya ingin untungnya saja",0
enggak recomended. produk sih ok seperti biasa. tapi packing cuma pakai amplop kondangan putih dibungkus plastik. ya jebol semua obatnya. padahal buat stok. najong banget dah. di chat enggak dibales. kapok lah gue belanja disini.,1
"mac hancur, padahal sudah ada bubbel. karena kardus cuman menempel doang di mac, jadi ketindih2 pecah",0
sekali pakai,1
barangnya original ??. berfungsi dengan baik.,2
barang tidak bagus murahan,0
barang sampah.. kecewa belanja disini.. modbo rusak kok dikirim,0
"game lancar, kondisi box dan game cartridges mulus, pengiriman super cepat, seller yang super responsive, thanks gan recommended banget beli game disini",3
ini retak bagaimana ya kok pembungkusnya apa enggak dicek dulu sebelum dikirim,1
bukan jam harga mahal yang didiskon..tapi jam yang sesuai harga beli dan kualitasnya..,2
barang cuma bisa dipakai seminggu... uap nya enggak muncul lagi...kecewa banget... jadi enggak bisa diapa2in. buat yang lain jangan karena murah beli ya...barang cuma tahan seminggu,4
"pashminanya pendek, enggak seperti yang ada di deskripsi",1
barang enggak bisa dipakai ?????????????????????????????????? parah ini mah,0
"mengenai barang sudah sesuai...., respon sangat lambat. saya meminta dikirim pakai sameday (6 jam. barang baru diantar dan keterima di hari ke 3 (cat : transaksi sebelum jam 11 siang. packing barang saat pengiriman sangat seadanya. tidak rekomendasi deh kalau buat yang barang pengin buru-buru diterima/dipakai.",1
"pie susunyabberjamur, padahal baru disimpan sekitar semingguan dan expiry date masih sebulan. biasanya kalo beli di bali enggak kayak gitu, ya biar teman-teman yang beli pie susu nya aware saja ya. sedih juga sudah disayang2 makannya, eh pas mau makan ternyata jamuran, terpaksa dibuang ???? sudah chat juga ke sellernya, katanya karena enggak dimasuki ke kulkas. tapi dulu pas beli di bali juga enggak memasuki kulkas sih... fyi saja buat teman-teman yang mau beli ya",1
mesen 4 yang datang hanya 3 saja yang satu bosnya kosong enggak ada isinya,1
"mantavv sesuai pesanan ,joss",3
mantap,3
"memory sudah saya pasang. ada 4 keping 8 gb ddr3, semua berfungsi dengan baik. pengiriman lumayan cepat. recommended seller. ??",3
puasssssssssssssssssssssssss ...,2
"barang tidak dikirim, deli raja drama di ecom sini atupun oranye. jangan lagi beli disini kalo mereka mengadakan promo. saat complain dan mau kekurangan barang dikirim pun tidak di acc alasan stok kosong. jadi dana dikembalikan sesuai harga promo. kalo enggak niat bikin promo tolong enggak usah bikin, kalo nama deli jelek kan deli sendiri yang rugi. bye enggak akan beli deli lagi",0
seharusnya cute...tapi sayangnya....ada noda noda kuning di beauty blendernya....,4
"pesan warna biru,dikirim warna pink.padahal buat anak cowok,packing lelet sampai 24 jam,kecewa",4
parfum datang kondisi terbungkus rapi namun saya curiga kenapa tercium aromanya sampai keluar padahal belum dibuka sama sekali dari kardus luarnya. begitu saya buka kardus luar ternyata kardus dalamnya basah kemudian saya buka dan didalamnya isi parfum tinggal sedikit sekali.. saya tidak tahu yang bermasalah di oengemasan atau pengiriman. mohon bisa dievaluasi lagi terimakasih,1
"mantap barangg cepeatt sampaii barang bagus penjual nya fast respons banget, packingan oke banget aman sampai di tempatt.. barangnya keren banget",3
"baguus banget, puaslah dengan carote. ditunggu promo2nya lagi. terima kasih ya",3
yang di pesan merah yang datang biru parah,4
"barangnya original, harga murah, pengiriman cepat. terimakasih tokopedia, terimakasih seller dan terimakasih untuk para kurir.. semoga kita sehat selalu dan dijauhkan dari segala macam virus.. cepat sembuh indonesiaku.. love ya!",3
"mantap, barang oke",2
dendeng yang saya terima ada beberapa yang muncul jamur putih di dipermukaan dagingnya. untuk rasa banyak sekali ketumbarnya sehingga waktu dimakan rasanya kasar sekali. seller mohon diperhatikan kualitas produk sebelum dijual. terima kasih.,1
enggak dikirim barangnya,4
"wow murah bangetttt, packingnya rapih, produknya bagus keren mantap. sangat uhuuy pisan deh pokoknya hehehehehe",3
tolong di cek sebelum dikirim ya khususnya sd,1
"yang dikirim rusak, ajukan komplain tapi enggak jelas",0
"beli 2 kotak isi total 20 buah pie terdapat 5 buah pie yang sudah jamuran. padahal paket langsung dibuka sesaat setelah diantar kurir dan expire date juga masih 1 bulan lebih. coba cek ulasan, banyak pembeli juga mengalami kendala pie berjamur. jelek sekali kontrol kualitas pie susu ini. kasihan reputasi toko ini ikutan rusak gara-gara produk yang tidak dijaga reputasinya oleh pemilik produk. maaf ya kakak penjual, ini ulasan jujur. mungkin bisa disampaikan kepada produsen produk agar memperbaiki kontrol kualitas produknya.",1
"respon seller ok.packaging rapih. pesanan sesuai. kukisnya enak teksturnya pas, hanya masih kemanisan mnrt sy. kalau dikurangi sedikit manisnya lebih ok ??????",2
produk sesuai. produk berfungsi dengan baik.,2
"kecewa dengan pelayanan toko ini, dan nyesal denga toko ini, paket lama datang, deh itu paket tidak sampai di tempat tujuan. kalau boleh saya sarankan kepada pembeli lainnya, jangan pesan lagi deh ,barang disini, mereka tidak bertanggung jawab,",4
"bagus brgnya, semoga awet.",2
baru pakai sekali langsung koyak... bahan tipis... pengiriman lama.. chat enggak pernah di bls.. enggak recommended...,1
"pengiriman kilat, cepat banget sampainya beli malam dan saat itu juga langsung dikirim. harga juga jauh lebih murah. terima kasih!",3
barangnya bagus mewah banget. sudah dicoba juga bulu2 yang ngegumpal ke tarik jg. bagus pokoknya,3
lucu banget warnanya. recommended harga murah tapi enggak murahan. next bakal order lagi,3
ukuran mur di kepala gorillanya enggak sesuai dengan ukuran mur untuk holder handpone begitu juga dengan kamera saya. sangat mengecewakan. jadi sama sekali tak bisa digunakan. tolong kasih solusi dong,4
"check ini nya gampang bgt, cuma kasih lihat saja invoice sama ktp next, mau lah order voucher lagi di sini terima kasih",3
pipetnya tidak dikirim. .,1
pengiriman tepat waktu. kondisi paket dan barang diterima dalam kondisi baik. sudah dicoba dan berfungsi dengan baik. terima kasih & sukses selalu.,2
barang sudah di terima dengan selamat dan barang nya muantaaap sekali.maju dan terus berkembang buat toko nya.,2
kan pesanan nya warna yellow..yg dikirim graay sih hmmm,1
mantappppp,3
"barang sesuai pesanan dan pengiriman cepat, terima kasih ya",2
saya baru pakai ini karena habiskan stock yang sebelumnya. yang sekarang kualitasnya buruk karena cair beda dengan yang sebelumnya tidak cair. padahal di awal saya suka produk ini. disayankan saja kualitasnya turun karena dicampur cairan,1
seller sangat slow respon. pengiriman lama. baru kali ini ada yang saya kasih bintang 1. bukan karena barangnya tapi respon sellernya,0
"sudah mengikuti prosedur penggunaannya, lemnya enggak bisa lengket. masa habis di lem sudah kering, sudah dikasih lakban kayak prosedur, sandal yang dilem bisa ditarik. menjengkelkan",0
memang rasanya kayak basi apa bagaimana ?? kok begini amat kayak bau tong sampah,0
selangnya robek. tasnya juga robel di sudut,1
hati-hati untuk yang beli alat ini. saya baru pakai 2 kali dan besiny copot dari base nya. seller tidak memberikan solusi padahal saya meminta replacement dan bukan refund. saya sarankan untuk membeli merek lain daripada membeli brang defect dari toko ini.,1
"saya pesan lilin yang angka 1 dan 6 . tapi di kirim nya angka 7 . angka 6 nya sudah benar , padahal waktu beli saya sudah jlalasin saya mau yang angka 1 dan 6 . saya tidak bisa kirim foto nya karena saya sudah buang brng nya karena tidak bisa di pakai . saya sudah tunggu berapa hari , tau-tau sampai brng nya dan di buka yang di kirim lain sama yang di beli . saya cuman pesan untuk ke depan nya blajarlah yang teliti sebelum brng di kirim .",1
pelayanannya sangat buruk,0
penjual angkuh... yang namanya pembeli itu raja.. di layani sebagaimana mestinya.. kepuasan pembeli prioritas utama.. lah loh? angkuh sombong.. makan tuh duet haram.. pertama dan terakhir gue belanja di olshop loh cuih!!!!,0
untuk jar bahannya bagus. bahan2 yang lain lumayan. namun untuk tutup jar pita tolong diperhatikan lubangnya terlalu besar. gampang ditarik sampai lepas. tapi terbalik dengan tutupnya stick yang kekecilan lobangnya. stick plastik enggak bisa masuk. akhirnya harus diganti tutup stick jadi tutup pita. tapi ya pe er ngerjainnya karena sudah keiket kecil2 begitu kan. maaf agak panjang reviewnya. untuk yang lain bagus.,1
bagi yang mau beli game pas bagus nih di toko ini. di layani sampai selesai . terima kasih ngab,2
tak sesuai gambar. ini enggak ada dijahit cuman disambung pakai obras. bahannya tipis. kecewa,4
"fast respon, next bakal order lagi disini thank you",3
jamnya berfungsi normal. ukuran sesuai. keren banget modelnya.,3
"ribet pemakaian , enggak di menyarankan beli",1
ikan bagus dan sehat. mantaaaaap,3
"bagus. sesuai ekspetasi. original. pengiriman cepat. cuma pada bagian tombol adjust agak masuk kedalam jadi agak susah ditekan. kalau tombolnya bagus, aku langsung kasih bintang 5 hehehe",2
mksshhh pelangganku syuukkkaaaa,3
"terima kasih yah, berfungsi dengan sangat baik. produk nyaman & mudah dipakai. packing aman ??. kualitas bahan tinggi ??. dijamin termurah.",3
produknya bagus dan berfungsi dengan baik,2
"agak kecewa sih,jilbabnya ukuran kecil banget,gak bisa dipakai untuk dewasa..",4
"baru pakai 15mnt sudah rusak, padahal enggak jatuh dan enggak kebanting.",1
"jujur lumayan kecewa banget dengan claim wangi mint eucalyptus, pasti yang terbayang wangi kayak minyak kayu putih begitu tapi pas datang benar-benar enggak ada wangi mint atau eucalyptusnya. atau mmng aku hidung aku yang salah cium. ?? yang jelas wanginya bikin eneg dan pusing bukan nyegerin kayak minuak kayu putih. terus enggak dapat free pouch juga. ??",4
mantap...pengiriman sangat cepat ....produk aman ..,2
buat xiaomi 9t cocok.. tombolnya empuk bentuknya keren,2
"enggak benar nih, harusnya yang datang tuh meja utuh, malah baut2 enggak terpasang, dan baut2nya kecil banget... mau dilem ?? mengaco nih ****** !",0
selalu langganan disini. ngmpulin recehan menjadi emas.,3
bagussss.. selalu repat order.,3
"pel nya lebih kecil dibanding dengn spin mop merk lain jadi kalo menyimpan enggak ngabisin banyak space, bahan lumayan tebal ??",2
"untuk barang dengan harga yang cukup mahal, saya berekspektasi tidak ada air bubble pada pinggiran lobang home button dan kamera. saya sudah coba beberapa kali untuk memperbaikinya, tetapi sepertinya bukan salah pada pemasangannya.",1
sangat kecewaaaa banget pengiriman barang lamaaaaaa sekaliii tidak sesuai dengan waktu estimasi nya dan melebihi sampai 3 hari lebihhh dari waktu estimasi nya..kecewaaaa,4
padahal gue sudah kasih note warna merah dan gue sudah chat kepenjual juga yang datang malah warna ungu! error nih yang jual kesel gue,0
orgdapet barang nya bgs..tapi saya dapat yang patah.,4
barang cepat sampe. penjual fast respond. cuma dapat produk yang covernya agak lecek.,2
"bahan nyan lembut dan empuk enak dan tidur jadi lebih enak enggak pegel pegel lagi pas bangun tidur bye bye salah bantal,material bagus dan halus. ukuran sesuai. bagus banget!. harga terjangkau.",3
baru dipakai 1 malam. langsung ngedrop.,4
barang cepat panas dan rusak,4
"belum dimainin barang sudah cacat mana no angkanya ada yang pudar lagi, parah deh",0
sangat kecewa. produk terkesan sudah dipacking ulang (lembaran dan berat tidak sesuai dengan yang seharusnya.,4
bocor!,0
tidak berfungsi sama sekali.. produk nya.. kutu tetap masih ada&tidak mati.. kecewa saya tidak sesuai speak nya,4
rqpihhhhhhhhhhhhhhhh,3
beli packing dus sama bubble tapi dus indak dikirim... mohon diperhatikan kembali,1
beli 2 pcs... yang satu normal tanpa kendala.. yang 1 lagi stuck house cartridge nya enggak mau ke tengah... step nya sama dengan yang normal mengikuti manual...,1
"fast respon, recommended seller",3
"mantap hijabnyaaa, enaaaaaak dipakai, adeeeeem",3
jamnya berfungsi normal. bahannya bagus. ukuran sesuai. nyaman dipakai lama.,2
"jujur, awalnya sih kawatir dikarenakan baru pertama kali membeli emas lewat online, alhamdulilah ternyata penjualnya jujur dan amanah bakalan jadi langganan terus nih aku. terima kasih",3
"puas banget, sempat error di kurir & mau pakai gercep, seller nya respon banget & sama-sama cari solusi. order ulang & enggak pelit, ada yang dikasih tambahan dikit2.. terima kasih ya kak. jaya selalu tokonya ??",3
"pelayanan mantap...langsung kirim dan sampainya cepat banget,packingnya juga ok banget??????",3
belanja disini mantap pengiriman cepat dan barangnya rekomended dan packing aman dan rapi bakal belanja lagi disini insyaallah,3
alhamdulilah jilbabnya bagus enggak menerawang dapat diskon juga dari tokped makasii seller,2
"mudah copot di dasbord,lemnya kgk kuat",1
dijualnya barang yang sudah mau expired.. pantesan saja kok murah..,1
"harga terjangkau. tetapi ada dua adaptor yang tidak bisa berfungsi tidak ada power sama sekali setelah di cek engineering saya juga sama sekali tidak bisa di betulkan. please check properly before you sent the packages,and memakai sure all the item works.",1
terjemahannya berantakan bgt. mending beli yang versi inggrisnya saja,0
"barangnya bagus bgt. kokoh, sisirnya juga enggak tajem, tombol kliknya juga praktis",3
mantab minnn pengiriman jam 5 sore masih di gasss ????,3
"sory ya pesanan enggak sesuai, meminta xxl di deskrisi lebar 50 panjang 75. yang datang lebar 43 panjang 60 indak muat boss..",0
kura kuranya tidak mulus,4
"enggak ada pengaruh, kutu masih hidup, sudah saya tes langsung. merasa ditipu nih, semoga dapat karma deh lu",0
"kualitas dan bahanya sangat bagus,,??????",3
"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",2
bahan agak panas dan warnanya enggak cocok,4
barang sampai tapi banyak yang tergores dan penyok di penyangga nya,1
paking tidak rapi jebol,4
"pengiriman sangat lama, diluar estimasi yang tercantum",1
mantaaappp biasanya langganan,3
"ternyata bukan hot wheels asli, bahan plastik. harap di beri keterangan bahwa barang tidak original.",1
kualitas produk kurang memuaskan,4
"barang baru sampe, terus dicoba, awal nya bagus, tiba tiba mesin nya mati, sudah dicoba berkali kali tetap enggak hidup, seller di chat tidak respon, dana sudah diterima seller, tokopedia enggak bisa bantu komplain saya, kecewa sekali. sudah 10 hari sejak komplain saya cuma disuruh menunggu katanya di cek, tiap hari saya tanya masih dicek, enggak pernah sekalipun duluan kasih info soal barang saya, selalu saya yang tanya duluan, jadi kapan penyelesaian nya? baru sekali ini belanja di tokopedia kena seller enggak bagus begini, meminta refund enggak ditanggapi, barang saya juga enggak tau kemana dan diapain, saya beli baru tapi kayak beli barang refurbish yang enggak dikirim dikirim, menyebalkan!!!",0
"bahan bagus sih, tapi warna foto sama asli beda",2
bahannya adem. warnanya cantik ??. ukuran sesuai. terimakasih,3
banyak masker yang jahitan/lemnya lepas,1
kalo sudah bayar dicuekin sama penjualnya !! - chat 3 januari 2021 di respon. - order 3 januari 2021 jam 11 siang dengan kurir grab same-day - barang sampai 4 januari 2021 jam 3 sore. kalo ujung ujungnya enggak sampai tujuan di hari yang sama mengapai bayar ongkir mahal pakai grab !!,0
padahal gue sudah kasih note warna merah dan gue sudah chat kepenjual juga yang datang malah warna ungu! error nih yang jual kesel gue,0
"paket datang kardus penyok & robek. malu kalo buat kado. sudah banyak yang gini, kenapa tidak ada perbaikan dari mooimom?",1
mkkasih admin daper harga murah paketan sama cdr n redoxon,2
"pesan hitam dikirim putih..parah. mau direturn enggak keburu, soalnya barang tersebut buat kado ultah hari ini. makanya saya pakai same day. padahal sudah saya ingatkan loh, tolong dicheck dulu sebelum dikirim...",0
"pemasangan mudah karena aksesoris pembantunya lengkap, produk juga sesuai ekspektasi",2
ini mah ada robusta nya enggak sesuai deskripsi dan ekspetasi payah,0
beli 5 pada gosong semua.??baru apa bekas nih? biasanya beli enggak gini. untung asuransi 90 hari.,1
ini bukan kaos kaki.. tidak ada tumitnya.. sekali pakai langsung melar,4
enggak jelas,0
bahannya tipis dan jahitannya kurang rapi,4
respon cepat sangat memuaskan,3
"kunci bagian depan kendur alias tidak kencang, dan respon seller sangat tidak memuaskan...",1
gampang lepas dan kurang nge-grip di new fujifilm x-t3 saya,4
"real pict, real spek, packing rapi dan sangat aman walaupun kertas printer thermal tapi dikasih label fragile, sellernya recomended sekali, mantaaabbbss ??",3
"mantap, kalau di cium aromanya sedikit ada perubahan dari yang sebelumnya.",3
gampang lepas dan kurang nge-grip di new fujifilm x-t3 saya,4
jepitan nya bagus-bagus cantik anakku suka,3
barang sesuai pesanan.. tapi seller luar biasa responnya cepat n barang sudah sampai lebih cepat dari estimasi. sukses selalu n sehat selalu ya gan... terimakasih,2
"mantap barangnya sesuai,bagus terima kasih min??????",3
"pengiriman lambat, pas datang barang juga sudah sobek, debuan. ??????????????",1
"mantul banget response dan pelayanan seller ini lho!! ????????dalam kurun waktu 1 hari paketnya tiba di rumah, sepertinya tahu saja kalo memang ditungguin!!????",3
"pesanan sudah selesai apaan, orang barang tidak di terima, sudah ajukan komplain, menunggu lama, sampai saiki enggak dapat barang malah di meminta penilaian barang. #kecewa berat deh",0
mainannya bagus banget ??????,3
"mantab sesuai pesanan, respon cukup sigap, dan cukup informatif package rapi aman, kondisi barang bagus segel, sempat kendala gosend error jadi baru besoknya hari sabtu di proses, sigap bantu proses cepat akhirnya bisa diantar sabtu juga. thanks",2
bagus banget bukunya. suka. terima kasih,3
"saya sarankan jangan transaksi sama toko ini, pesanan saya sampai saat ini belum dikirim... selalu bohong kalo ditanya...",1
barang tidak lengkap.. sudah lama lapor tapi sampai saat ini belum di kirim2... sudah sering ditanyakan tapi hanya janji2 aja.,0
"susah payah menarik balonnya biar mekar, eh bolong...",4
"enggak sesuai yang di harapkan, pengin yang kecil2 jadi besar dan cenderung kasar jadi nya",4
bahannya adem. warnanya cantik ??. ukuran sesuai. terimakasih,3
"untuk pengiriman antar pulau penjual hanya packing dengan 1 lapis kresek. alhasil dusnya babakbelur penyok & sobek sana sini, padahal ini mau untuk kado. barang-barang kecil saja di olshop lain dipakein bubble wrap & kotak double. mana lama banget baru dikirim, order sabtu dikirim senin. shame on you ????",0
mantaaappp.????????????????????????????????????,3
obatnya cocok buat doggy yang berjamur . sudah beli beberapa kali,3
kecewa bawa tidak sesuai pesanan pesan 10 yang datang cuma 8 botol,4
"packing nya bocor,oli kemana mana kecewa.",4
efektif menyaring kotoran. mantap lah. jadi. jernih banget ini air,2
pesan apa dikirim apa ????????????????????????????????????????????,0
secara keseluruhan sudah bagus namun bagian dalam kadang suka copot copot,2
"packaging aman ??. packaging rapi. desainnya lucu. respon penjualnya top. maaf fotonya burem, soalnya ss dari video unboxing ??",3
"penggunaan di hp samsung: kualitas suara baik. kualitas mic standar menuju buruk (suara harus keras baru bisa terdengar oleh lawan bicara. pengguanan di macbook: ketika terhubung kualitas suara baik, namun selalu terputus (tidak stabil koneksinya, sehingga tidak bisa digunakan. buat teman-teman yang perlu connect ke laptop begitu mending cari tws lain deh. soalnya koneksinya ke laptop enggak stabil. sekian.",1
"kainnya enggak tipis, standar tebal batik biasa, adem , lembut, variant yang dikirim penjual , sesuai.",2
pencetannya agak keras jadi tkt cepat rusak. terus airnya jadi bau plastik.. tidak dapat dipakai,1
"barang bagus, sesuai pesana pengiriman cepat positive job",2
produk mantap packingnya bagus,2
"bakalan jadi langganan .. harga terjangkau, pengiriman juga oke",3
"untuk produk untung datang nya bagus,untuk pengemasan buruk banget,bsa di bilang enggak layak,dan agak penyok kotak nya,kayak bekas pakai",1
"barang sebenarnya sudah sampai tadi sore, cuman baru ta unboxing dan mainkan malam ini. sukaaa! recommended nih toko ????????????",3
"produk kehilangan salah satu karet sampingnya, sudah di cek dalam box tapi tidak ada",1
baju nya tipis.. model celana nya juga enggak sama dengan di foto..gak real fict mnurut saya..sablon nya licin sekali cuci dijemur lengket dan lepas.. menyesal belanja di sini enggak sesuai dengan expektasi saya,1
"kualitas barang sangat bagus, produksi terbaru, kemasan sederhana, seller cepat menanggapi.",3
pesanan tidak sesuai ukuran.,4
"belum sebulan pemakaian, lampu pada jam dan indikatornya sudah mati dan tidak berfungsi lagi. padahal jam tidak pernah jatuh atau terkena percikan air. sebelum mati, jam hanya bisa menyala paling lama 3 hari setelah batre dicas penuh jadi tidak sesuai dengan iklannya yang bisa bertahan belasan hari",1
"barang diterima dengan baik dan di packing rapi, sesuai deskripsi, ada jahitan kurang rapi di bagian kaki tapi no probs",2
"barangnya bagus bgt. kokoh, sisirnya juga enggak tajem, tombol kliknya juga praktis",3
mantap barangnya ??????,2
"produk sudah di terima dengan baik, exp aman masih jauh. thx soho",2
"jumlahnya tidak sesuai dengan promonya. setelah saya terima & dibuka, jumlahnya hanya 4 yang seharusnya 5.",1
kurang komunikatif,1
jahitannya enggak rapi ..banyak benang2 yang belum kepotong.ada juga benang yang copot ((,4
enggak ada plat besinya...cm ada label merk bahan,1
bagus banget topi nya nanti mau beli lagi ah,3
celananya kekecilan sayang amet,4
barangnya ada yang sobek diujung nya jadi macet ketika dinyalakan,4
"whiteboard melengkung, alumunium bengkok, skrup hilang, mutu rendah sekali, jauh dari gambar & deskripsi",1
spesifikasi barang kurang lengkap dipakai dewasa enggak bisa hanya sampai leher,4
jahitannya enggak rapi ..banyak benang2 yang belum kepotong.ada juga benang yang copot ((,4
kualitas underpad buruk tidak sesuai harga.,4
"tidak licin. pembelian ke sekian. bagus, warna sesuai gambar.",2
barangnya baret dan enggak mulus,4
